,Title,Year,imdbID,Rated,Director,Actors,Language,Plot,IMDb_link,Runtime,BoxOffice,IMDb,RT,Meta,poster_path,backdrop_path,Watched,Season
44,Colossal,2016,tt4680182,R,Nacho Vigalondo,"Anne Hathaway, Jason Sudeikis, Austin Stowell","English, Korean","Gloria is an out-of-work party girl forced to leave her life in New York City and move back home. When reports surface that a giant creature is destroying Seoul, she gradually comes to the realization that she is somehow connected...",https://www.imdb.com/title/tt4680182,109,3029287.0,6.2,82.0,70.0,/4VOyofBd1pexblxtDZYtYIk7NI4.jpg,/1ddf2Kq1hC7SgV02E3pyLAC26lq.jpg,False,10.0
45,Colossus: The Forbin Project,1970,tt0064177,M,Joseph Sargent,"Eric Braeden, Susan Clark, Gordon Pinsent","English, Russian","Thinking this will prevent war, the US government gives an impenetrable supercomputer total control over launching nuclear missiles. But what the computer does with the power is unimaginable to its creators.",https://www.imdb.com/title/tt0064177,100,,7.1,89.0,,/kmVDlTzERxSvBrqtQurjKf1zEy1.jpg,/3eV9l3HhOGOytCilHJOACDL9DIT.jpg,True,6.0
46,Coneheads,1993,tt0106598,PG,Steve Barron,"Dan Aykroyd, Jane Curtin, Robert Knott",English,Aliens with conical crania crash-land on Earth.,https://www.imdb.com/title/tt0106598,88,21274717.0,5.4,35.0,49.0,/4eHnstayi28SCHv8ATcISFEv1Rl.jpg,/pvh2cyUUu7BYghoRqlV9jsd5Pdh.jpg,False,8.0
47,Contact,1997,tt0118884,PG,Robert Zemeckis,"Jodie Foster, Matthew McConaughey, Tom Skerritt","English, Spanish, German, Russian","Dr. Ellie Arroway, after years of searching, finds conclusive radio proof of extraterrestrial intelligence, sending plans for a mysterious machine.",https://www.imdb.com/title/tt0118884,150,100920329.0,7.5,68.0,62.0,/bCpMIywuNZeWt3i5UMLEIc0VSwM.jpg,/yFkUPqBuUnbhYbQL8VFpTrAT9za.jpg,False,6.0
48,Crimes of the Future,2022,tt14549466,R,David Cronenberg,"Viggo Mortensen, Léa Seydoux, Kristen Stewart",English,"Humans adapt to a synthetic environment, with new transformations and mutations. With his partner Caprice, Saul Tenser, celebrity performance artist, publicly showcases the metamorphosis of his organs in avant-garde performances.",https://www.imdb.com/title/tt14549466,107,2452882.0,5.8,80.0,67.0,/RAFYMC0NgK9In9aGY6k6wsIL8w.jpg,/sqdsuvy8X6Maila4IAc7deMtPAA.jpg,True,9.0
49,Cube,1997,tt0123755,R,Vincenzo Natali,"Nicole de Boer, Maurice Dean Wint, David Hewlett","English, German, French",A group of strangers awaken to find themselves placed in a giant cube. Each one of them is gifted with a special skill and they must work together to escape an endless maze of deadly traps.,https://www.imdb.com/title/tt0123755,90,501818.0,7.1,63.0,61.0,/x4BTjxdrOKC27FcSkBh8KPEgnum.jpg,/3TimUBrXMVblpnTsyg4HssGVbBv.jpg,True,2.0
50,Cypher,2002,tt0284978,R,Vincenzo Natali,"Jeremy Northam, Lucy Liu, Nigel Bennett",English,"An unsuspecting, disenchanted man finds himself working as a spy in the dangerous, high-stakes world of corporate espionage. Quickly getting way over-his-head, he teams up with a mysterious femme fatale.",https://www.imdb.com/title/tt0284978,95,,6.7,58.0,,/ph7oKfGjGSJFnjBvIVlkCwCrZx2.jpg,/y1EjQaJojDusoFCzzCLi2BlByA.jpg,False,6.0
51,D.A.R.Y.L.,1985,tt0088979,PG,Simon Wincer,"Mary Beth Hurt, Michael McKean, Kathryn Walker",English,A seemingly normal young boy is found abandoned on a mountain road and adopted by a family who are increasingly amazed by his abilities before discovering the secret behind his real identity.,https://www.imdb.com/title/tt0088979,99,7840873.0,6.3,53.0,,/87huhTOQijJy0pLhusZfest1MoZ.jpg,/6Ld4ivkOa2tmvP2F0Fo4eRiuMkz.jpg,False,6.0
52,Dark City,1998,tt0118929,R,Alex Proyas,"Rufus Sewell, Kiefer Sutherland, Jennifer Connelly",English,"A man struggles with memories of his past, which include a wife he cannot remember and a nightmarish world no one else ever seems to wake up from.",https://www.imdb.com/title/tt0118929,100,14378331.0,7.6,,66.0,/tNPEGju4DpTdbhBphNmZoEi9Bd3.jpg,/bmAzESah8IUNRQX5MqeyUrhE5Pr.jpg,True,6.0
53,Dark Star,1974,tt0069945,G,John Carpenter,"Dan O'Bannon, Dre Pahich, Brian Narelle",English,"In the far reaches of space, a small crew, 20 years into their solitary mission, find things beginning to go hilariously wrong.",https://www.imdb.com/title/tt0069945,83,,6.2,73.0,66.0,/aiqLBiH0IWrog2Q78dZTT8Ad9Sp.jpg,/9yXen3n0LOX4yfb1KTSQXmJovPN.jpg,True,1.0
54,Das Millionenspiel,1970,tt0066079,,Tom Toelle,"Jörg Pleva, Suzanne Roquette, Dieter Thomas Heck",German,"A candidate in a game show is hunted by three men. He will get a Million DMark, if he survives for a week; the hunters will get the money, if they can kill the candidate. The audience of the show is watching the transmissions of t...",https://www.imdb.com/title/tt0066079,96,,7.7,,,/1RUB5goPRL6TvS59oy5P4qsQ5BO.jpg,/fPy8zbYcqcKupx2ziixSuH4NKAu.jpg,True,5.0
55,Dead Man's Letters,1986,tt0091759,,Konstantin Lopushanskiy,"Rolan Bykov, Iosif Ryklin, Viktor Mikhaylov",Russian,"In the aftermath of nuclear holocaust, a group of intellectuals crave to find hope in the pale and colorless new world. Among them, a history teacher tries to contact via letters his missing son.",https://www.imdb.com/title/tt0091759,87,,7.5,,,/uPfG3ZnXCdRdxZ88DqMe0UuIwBS.jpg,/lLvIoN4fHSrmOuK0CvVgkqA6Sa4.jpg,False,6.0
56,Death Race 2000,1975,tt0072856,R,Paul Bartel,"David Carradine, Sylvester Stallone, Simone Griffeth","English, Brazilian Sign , Spanish","In a dystopian future, a cross country automobile race requires contestants to run down innocent pedestrians to gain points that are tallied based on each kill's brutality.",https://www.imdb.com/title/tt0072856,80,,6.2,82.0,58.0,/kwM8kkNGtv62gfPWVhD6qFxjDzg.jpg,/2MVfJHo1P79LSXg67aE8wjbh2uY.jpg,True,3.0
57,Demolition Man,1993,tt0106697,R,Marco Brambilla,"Sylvester Stallone, Wesley Snipes, Sandra Bullock",English,A police officer is brought out of suspended animation in prison to pursue an old ultra-violent nemesis who is loose in a non-violent future society.,https://www.imdb.com/title/tt0106697,115,58055768.0,6.7,63.0,34.0,/dq6AmlVFo92PRuoLCcIyFdoRuxf.jpg,/cO5tOuyaW1WA3QaDuqps6HMGI81.jpg,True,6.0
58,Demon Seed,1977,tt0075931,R,Donald Cammell,"Julie Christie, Fritz Weaver, Gerrit Graham",English,"A scientist creates Proteus--an organic super computer with artificial intelligence which becomes obsessed with human beings, and in particular the creator's wife.",https://www.imdb.com/title/tt0075931,94,,6.3,59.0,55.0,/1COyCeH7NLNohVd0mRFDSBWt1Yv.jpg,/gZnYAzOakSL5QK519ixYKF2Qben.jpg,True,1.0
59,Diamantino,2018,tt6522668,,"Gabriel Abrantes, Daniel Schmidt","Carloto Cotta, Cleo Tavares, Anabela Moreira",Portuguese,"A fallen soccer superstar vows to adopt a refugee child, while becoming the naive unwitting centerpiece in in a bizarre plot to Make Portugal Great Again.",https://www.imdb.com/title/tt6522668,96,70088.0,6.3,87.0,75.0,/mjOvGWYeQuaUUkEMKvL1gqIjeAz.jpg,/3Wl88SIaaBnEneMfu5iqOFls5wb.jpg,True,9.0
60,District 9,2009,tt1136608,R,Neill Blomkamp,"Sharlto Copley, David James, Jason Cope","English, Nyanja, Afrikaans, Zulu, Xhosa, Sotho","Thirty years ago, aliens arrive on Earth to find refuge. Separated from humans in a District 9, they are managed by Multi-National United. When a field agent contracts a virus that begins to alter his DNA, there is only one place ...",https://www.imdb.com/title/tt1136608,112,115646235.0,7.9,90.0,81.0,/tuGlQkqLxnodDSk6mp5c2wvxUEd.jpg,/jhM3wgWUrrOkz9r4xwV5cV5RhI4.jpg,True,7.0
